"Date","Description","Comments","Check Number","Amount","Balance"
"12/31/2023","Statement Fee","","","($3.00)","$43.30"
"12/29/2023","AMAZON.COM, INC.","","","$14.17","$46.30"
"12/13/2023","From Share 01 REF# 30479632","","","$10.10","$32.13"
"11/30/2023","Dividend Posting APY Earned  0.18% 11/01/23 to 11/30/23","","","$0.03","$22.03"
"11/30/2023","Statement Fee","","","($3.00)","$22.00"
"11/29/2023","To Share 01","","","($210.02)","$25.00"
"11/29/2023","AMAZON.COM.CA, I CO: AMAZON.COM.CA, INC : PAYMENT  ID: 8941687665DATA: FF3               US %% ACH ECC IAT","","","$3.10","$235.02"
"11/29/2023","AMAZON AUSTRALIA CO: AMAZON AUSTRALIA SERVICES INC : PAYMENT  ID: 8941687665DATA: FF3               US","","","$0.34","$231.92"
"11/29/2023","AMAZON.COM, INC.","","","$15.92","$231.58"
"10/31/2023","Dividend Posting APY Earned  0.21% 10/01/23 to 10/31/23","","","$0.04","$215.66"
"10/31/2023","Statement Fee","","","($3.00)","$215.62"
"10/30/2023","AMAZON.COM.CA, I CO: AMAZON.COM.CA, INC : PAYMENT  ID: 8941687665DATA: FF3               US %% ACH ECC IAT","","","$0.20","$218.62"
"10/30/2023","AMAZON MEDIA EU","","","$1.69","$218.42"
"10/30/2023","Amazon As4086580 : EDI PYMNTS  ID: 7205578222DATA: EDI  CO: Amazon As4086580 %% ACH ECC CCD %% ACH Trace 091000010044724","","","$0.02","$216.73"
"10/30/2023","AMAZON.COM, INC.","","","$68.64","$216.71"
"10/20/2023","To Share 01","","","($100.00)","$148.07"
"10/10/2023","To Share 01","","","($53.93)","$248.07"
"09/30/2023","Dividend Posting APY Earned  0.17% 09/01/23 to 09/30/23","","","$0.03","$302.00"
"09/30/2023","Statement Fee","","","($3.00)","$301.97"
"09/29/2023","AMAZON.COM.CA, I CO: AMAZON.COM.CA, INC : PAYMENT  ID: 8941687665DATA: FF3               US %% ACH ECC IAT","","","$5.19","$304.97"
"09/29/2023","AMAZON MEDIA EU","","","$4.46","$299.78"
"09/29/2023","Amazon As4019622 : EDI PYMNTS  ID: 7205578222DATA: EDI  CO: Amazon As4019622 %% ACH ECC CCD %% ACH Trace 091000010160819","","","$0.02","$295.32"
"09/29/2023","AMAZON.COM, INC.","","","$85.42","$295.30"
"08/31/2023","Dividend Posting APY Earned  0.20% 08/01/23 to 08/31/23","","","$0.02","$209.88"
"08/31/2023","Statement Fee","","","($3.00)","$209.86"
"08/29/2023","AMAZON MEDIA EU","","","$0.66","$212.86"
"08/29/2023","AMAZON AUSTRALIA CO: AMAZON AUSTRALIA SERVICES INC : PAYMENT  ID: 8941687665DATA: FF3               US","","","$0.09","$212.20"
"08/29/2023","Amazon As3949014 : EDI PYMNTS  ID: 7205578222DATA: EDI  CO: Amazon As3949014 %% ACH ECC CCD %% ACH Trace 091000010036329","","","$0.01","$212.11"
"08/29/2023","AMAZON.COM, INC.","","","$101.12","$212.10"
"07/31/2023","Statement Fee","","","($3.00)","$110.98"
"07/31/2023","AMAZON.COM.CA, I CO: AMAZON.COM.CA, INC : PAYMENT  ID: 8941687665DATA: FF3               US %% ACH ECC IAT","","","$5.19","$113.98"
"07/31/2023","AMAZON AUSTRALIA CO: AMAZON AUSTRALIA SERVICES INC : PAYMENT  ID: 8941687665DATA: FF3               US","","","$0.05","$108.79"
"07/31/2023","Amazon As3882390 : EDI PYMNTS  ID: 7205578222DATA: EDI  CO: Amazon As3882390 %% ACH ECC CCD %% ACH Trace 091000010109718","","","$0.04","$108.74"
"07/31/2023","AMAZON.COM, INC.","","","$22.54","$108.70"
"06/30/2023","Statement Fee","","","($3.00)","$86.16"
"06/12/2023","AMAZON.COM, INC.","","","$0.01","$89.16"
"05/31/2023","Statement Fee","","","($3.00)","$89.15"
"04/30/2023","Statement Fee","","","($3.00)","$92.15"
"03/31/2023","Statement Fee","","","($3.00)","$95.15"
"02/28/2023","Dividend Posting APY Earned  0.26% 02/01/23 to 02/28/23","","","$0.02","$98.15"
"02/28/2023","Statement Fee","","","($3.00)","$98.13"
"01/31/2023","Dividend Posting APY Earned  0.23% 01/01/23 to 01/31/23","","","$0.02","$101.13"
"01/31/2023","Statement Fee","","","($3.00)","$101.11"
